sqft,sale_price ,sale_price_pred ,,,Error: A-B,,Absolute Value of Error: ABS(B-C),,Square of Error: F^2,,Absolute Values of Errors Divided by Actual Values: ABS((B-C)/B6,,,
1795,230000,169048.8059,,,-228205,,60951.1941,,52077522025,,0.265005192,,,
1900,129900,176925.7778,,,-128000,,47025.7778,,16384000000,,0.362015226,,,
1248,154000,128013.5328,,,-152752,,25986.4672,,23333173504,,0.168743294,,,
1600,256300,154420.1436,,,-254700,,101879.8564,,64872090000,,0.397502366,,,
1134,134800,119461.3918,,,-133666,,15338.6082,,17866599556,,0.113787895,,,
2922,306000,253594.9717,,,-303078,,52405.0283,,91856274084,,0.171258262,,,
2877,207500,250219.1266,,,-204623,,42719.1266,,41870572129,,0.205875309,,,
520,68500,73399.86051,,,-67980,,4899.86051,,4621280400,,0.07153081,,,
1317,40000,133189.8287,,,-38683,,93189.8287,,1496374489,,2.329745718,,,
1228,149350,126513.1572,,,-148122,,22836.8428,,21940126884,,0.152908221,,,
1234,179900,126963.2699,,,-178666,,52936.7301,,31921539556,,0.294256421,,,
2718,165500,238291.1404,,,-162782,,72791.1404,,26497979524,,0.439825622,,,
2714,277500,237991.0653,,,-274786,,39508.9347,,75507345796,,0.142374539,,,
2452,309000,218336.1448,,,-306548,,90663.8552,,93971676304,,0.293410535,,,
1097,145000,116685.697,,,-143903,,28314.303,,20708073409,,0.195271055,,,
2510,153000,222687.2341,,,-150490,,69687.2341,,22647240100,,0.455472118,,,
1788,109000,168523.6744,,,-107212,,59523.6744,,11494412944,,0.546088756,,,
1152,82000,120811.7299,,,-80848,,38811.7299,,6536399104,,0.473313779,,,
1967,160000,181952.0361,,,-158033,,21952.0361,,24974429089,,0.137200226,,,
2295,170000,206558.1962,,,-167705,,36558.1962,,28124967025,,0.215048213,,,
1631,144000,156745.7258,,,-142369,,12745.7258,,20268932161,,0.088511985,,,
1218,130250,125762.9694,,,-129032,,4487.0306,,16649257024,,0.034449371,,,
1329,141000,134090.0541,,,-139671,,6909.9459,,19507988241,,0.049006709,,,
2208,319900,200031.5623,,,-317692,,119868.4377,,1.00928E+11,,0.374705963,,,
3500,239686,296955.8269,,,-236186,,57269.8269,,55783826596,,0.238936888,,,
1680,249700,160421.6461,,,-248020,,89278.3539,,61513920400,,0.357542467,,,
1452,113000,143317.3641,,,-111548,,30317.3641,,12442956304,,0.268295258,,,
1718,127000,163272.3598,,,-125282,,36272.3598,,15695579524,,0.285609132,,,
1652,177000,158321.1202,,,-175348,,18678.8798,,30746921104,,0.105530394,,,
816,114500,95605.41959,,,-113684,,18894.58041,,12924051856,,0.16501817,,,
920,110000,103407.3728,,,-109080,,6592.6272,,11898446400,,0.059932975,,,
3652,385000,308358.6816,,,-381348,,76641.3184,,1.45426E+11,,0.199068359,,,
1744,130000,165222.8481,,,-128256,,35222.8481,,16449601536,,0.270944985,,,
1915,180500,178051.0596,,,-178585,,2448.9404,,31892602225,,0.013567537,,,
2388,172500,213534.9428,,,-170112,,41034.9428,,28938092544,,0.237883726,,,
1720,196500,163422.3973,,,-194780,,33077.6027,,37939248400,,0.168333856,,,
2945,438780,255320.4037,,,-435835,,183459.5963,,1.89952E+11,,0.418112941,,,
1412,124900,140316.6129,,,-123488,,15416.6129,,15249286144,,0.123431649,,,
2099,158000,191854.5152,,,-155901,,33854.5152,,24305121801,,0.214269084,,,
1111,101000,117735.9599,,,-99889,,16735.9599,,9977812321,,0.165702573,,,
1394,202500,138966.2748,,,-201106,,63533.7252,,40443623236,,0.313746791,,,
1710,140000,162672.2095,,,-138290,,22672.2095,,19124124100,,0.161944354,,,
2773,219500,242417.1734,,,-216727,,22917.1734,,46970592529,,0.104406257,,,
2473,317000,219911.5392,,,-314527,,97088.4608,,98927233729,,0.306272747,,,
3119,180000,268373.6715,,,-176881,,88373.6715,,31286888161,,0.490964842,,,
2492,226000,221336.896,,,-223508,,4663.104,,49955826064,,0.020633204,,,
747,80000,90429.12372,,,-79253,,10429.12372,,6281038009,,0.130364047,,,
2890,225000,251194.3707,,,-222110,,26194.3707,,49332852100,,0.116419425,,,
4103,244000,342192.1517,,,-239897,,98192.1517,,57550570609,,0.402426851,,,
1410,129500,140166.5753,,,-128090,,10666.5753,,16407048100,,0.082367377,,,
1718,185000,163272.3598,,,-183282,,21727.6402,,33592291524,,0.117446704,,,
1406,144900,139866.5002,,,-143494,,5033.4998,,20590528036,,0.034737749,,,
1605,107400,154795.2375,,,-105795,,47395.2375,,11192582025,,0.441296439,,,
1450,91000,143167.3265,,,-89550,,52167.3265,,8019202500,,0.573267324,,,
1180,135750,122912.2558,,,-134570,,12837.7442,,18109084900,,0.094569018,,,
1621,127000,155995.538,,,-125379,,28995.538,,15719893641,,0.228311323,,,
1768,136500,167023.2988,,,-134732,,30523.2988,,18152711824,,0.223613911,,,
1230,110000,126663.1948,,,-108770,,16663.1948,,11830912900,,0.151483589,,,
2590,193500,228688.7365,,,-190910,,35188.7365,,36446628100,,0.181853935,,,
2538,153500,224787.7599,,,-150962,,71287.7599,,22789525444,,0.464415374,,,
1596,245000,154120.0685,,,-243404,,90879.9315,,59245507216,,0.370938496,,,
1065,126500,114285.096,,,-125435,,12214.904,,15733939225,,0.096560506,,,
1474,168500,144967.7773,,,-167026,,23532.2227,,27897684676,,0.139657108,,,
2417,260000,215710.4875,,,-257583,,44289.5125,,66349001889,,0.170344279,,,
1560,174000,151419.3924,,,-172440,,22580.6076,,29735553600,,0.129773607,,,
1224,164500,126213.0821,,,-163276,,38286.9179,,26659052176,,0.232747221,,,
1013,85000,110384.1194,,,-83987,,25384.1194,,7053816169,,0.298636699,,,
1578,123600,152769.7305,,,-122022,,29169.7305,,14889368484,,0.236001056,,,
1040,109900,112409.6265,,,-108860,,2509.6265,,11850499600,,0.022835546,,,
1835,98600,172049.5571,,,-96765,,73449.5571,,9363465225,,0.744924514,,,
1677,163500,160196.5898,,,-161823,,3303.4102,,26186683329,,0.020204344,,,
3337,133900,284727.7657,,,-130563,,150827.7657,,17046696969,,1.126420954,,,
2434,204750,216985.8067,,,-202316,,12235.8067,,40931763856,,0.05975974,,,
1780,185000,167923.5242,,,-183220,,17076.4758,,33569568400,,0.092305275,,,
2750,214000,240691.7414,,,-211250,,26691.7414,,44626562500,,0.124727764,,,
1480,94750,145417.89,,,-93270,,50667.89,,8699292900,,0.534753456,,,
943,83000,105132.8047,,,-82057,,22132.8047,,6733351249,,0.266660298,,,
1794,128950,168973.7871,,,-127156,,40023.7871,,16168648336,,0.310382219,,,
2810,205000,245192.8683,,,-202190,,40192.8683,,40880796100,,0.196062772,,,
1732,178000,164322.6227,,,-176268,,13677.3773,,31070407824,,0.076839198,,,
1535,118964,149543.9229,,,-117429,,30579.9229,,13789570041,,0.257051906,,,
1226,198900,126363.1197,,,-197674,,72536.8803,,39075010276,,0.364690198,,,
2042,169500,187578.4447,,,-167458,,18078.4447,,28042181764,,0.106657491,,,
1992,250000,183827.5057,,,-248008,,66172.4943,,61507968064,,0.264689977,,,
1047,100000,112934.7579,,,-98953,,12934.7579,,9791696209,,0.129347579,,,
893,115000,101381.8657,,,-114107,,13618.1343,,13020407449,,0.118418559,,,
1517,115000,148193.5848,,,-113483,,33193.5848,,12878391289,,0.288639868,,,
2549,190000,225612.9665,,,-187451,,35612.9665,,35137877401,,0.187436666,,,
2299,136900,206858.2713,,,-134601,,69958.2713,,18117429201,,0.511017321,,,
1680,180000,160421.6461,,,-178320,,19578.3539,,31798022400,,0.108768633,,,
3680,383970,310459.2074,,,-380290,,73510.7926,,1.4462E+11,,0.191449313,,,
2294,217000,206483.1774,,,-214706,,10516.8226,,46098666436,,0.04846462,,,
3094,259500,266498.202,,,-256406,,6998.202,,65744036836,,0.026968023,,,
1877,176000,175200.3459,,,-174123,,799.6541,,30318819129,,0.004543489,,,
1262,139000,129063.7958,,,-137738,,9936.2042,,18971756644,,0.071483483,,,
1125,155000,118786.2228,,,-153875,,36213.7772,,23677515625,,0.233637272,,,
4692,320000,386378.2135,,,-315308,,66378.2135,,99419134864,,0.207431917,,,
1456,163990,143617.4392,,,-162534,,20372.5608,,26417301156,,0.124230507,,,
1926,180000,178876.2661,,,-178074,,1123.7339,,31710349476,,0.006242966,,,
1123,100000,118636.1853,,,-98877,,18636.1853,,9776661129,,0.186361853,,,
1650,136000,158171.0827,,,-134350,,22171.0827,,18049922500,,0.163022667,,,
1499,153900,146843.2468,,,-152401,,7056.7532,,23226064801,,0.045852847,,,
1586,181000,153369.8807,,,-179414,,27630.1193,,32189383396,,0.152652593,,,
1010,84500,110159.063,,,-83490,,25659.063,,6970580100,,0.30365755,,,
1078,128000,115260.3401,,,-126922,,12739.6599,,16109194084,,0.099528593,,,
956,87000,106108.0489,,,-86044,,19108.0489,,7403569936,,0.219632746,,,
1860,155000,173925.0266,,,-153140,,18925.0266,,23451859600,,0.122096946,,,
1620,150000,155920.5193,,,-148380,,5920.5193,,22016624400,,0.039470129,,,
2602,226000,229588.9619,,,-223398,,3588.9619,,49906666404,,0.015880362,,,
2749,244000,240616.7226,,,-241251,,3383.2774,,58202045001,,0.013865891,,,
1732,150750,164322.6227,,,-149018,,13572.6227,,22206364324,,0.090033981,,,
2301,220000,207008.3089,,,-217699,,12991.6911,,47392854601,,0.059053141,,,
2291,180000,206258.1211,,,-177709,,26258.1211,,31580488681,,0.145878451,,,
1682,174000,160571.6837,,,-172318,,13428.3163,,29693493124,,0.077174232,,,
1909,143000,177600.9469,,,-141091,,34600.9469,,19906670281,,0.241964664,,,
1959,171000,181351.8859,,,-169041,,10351.8859,,28574859681,,0.060537344,,,
2520,230000,223437.4219,,,-227480,,6562.5781,,51747150400,,0.028532948,,,
2585,231500,228313.6426,,,-228915,,3186.3574,,52402077225,,0.013763963,,,
1296,115000,131614.4343,,,-113704,,16614.4343,,12928599616,,0.144473342,,,
3034,260000,261997.0751,,,-256966,,1997.0751,,66031525156,,0.007681058,,,
1892,166000,176325.6276,,,-164108,,10325.6276,,26931435664,,0.062202576,,,
2180,204000,197931.0364,,,-201820,,6068.9636,,40731312400,,0.029749822,,,
3060,125000,263947.5634,,,-121940,,138947.5634,,14869363600,,1.111580507,,,
1709,130000,162597.1907,,,-128291,,32597.1907,,16458580681,,0.250747621,,,
1084,105000,115710.4528,,,-103916,,10710.4528,,10798535056,,0.102004312,,,
2035,222500,187053.3132,,,-220465,,35446.6868,,48604816225,,0.159310952,,,
1760,141000,166423.1485,,,-139240,,25423.1485,,19387777600,,0.180306018,,,
1344,115000,135215.3358,,,-113656,,20215.3358,,12917686336,,0.175785529,,,
1685,122000,160796.74,,,-120315,,38796.74,,14475699225,,0.318006066,,,
3110,372402,267698.5025,,,-369292,,104703.4975,,1.36377E+11,,0.281157184,,,
2409,190000,215110.3372,,,-187591,,25110.3372,,35190383281,,0.132159669,,,
1681,235000,160496.6649,,,-233319,,74503.3351,,54437755761,,0.317035469,,,
1200,125000,124412.6314,,,-123800,,587.3686,,15326440000,,0.004698949,,,
1096,79000,116610.6782,,,-77904,,37610.6782,,6069033216,,0.476084534,,,
1040,109500,112409.6265,,,-108460,,2909.6265,,11763571600,,0.026571932,,,
1968,269500,182027.0549,,,-267532,,87472.9451,,71573371024,,0.324574935,,,
2169,254900,197105.8298,,,-252731,,57794.1702,,63872958361,,0.226732719,,,
2519,320000,223362.4031,,,-317481,,96637.5969,,1.00794E+11,,0.30199249,,,
1892,162500,176325.6276,,,-160608,,13825.6276,,25794929664,,0.085080785,,,
3684,412500,310759.2826,,,-408816,,101740.7174,,1.67131E+11,,0.246644163,,,
2742,220000,240091.5912,,,-217258,,20091.5912,,47201038564,,0.091325415,,,
882,103200,100556.6591,,,-102318,,2643.3409,,10468973124,,0.025613768,,,
1986,152000,183377.393,,,-150014,,31377.393,,22504200196,,0.206430217,,,
1706,127500,162372.1344,,,-125794,,34872.1344,,15824130436,,0.273506936,,,
2246,190000,202882.276,,,-187754,,12882.276,,35251564516,,0.067801453,,,
3449,325624,293129.8691,,,-322175,,32494.1309,,1.03797E+11,,0.099790344,,,
1720,183500,163422.3973,,,-181780,,20077.6027,,33043968400,,0.109414729,,,
1707,228000,162447.1532,,,-226293,,65552.8468,,51208521849,,0.287512486,,,
1214,128500,125462.8943,,,-127286,,3037.1057,,16201725796,,0.023635064,,,
2295,215000,206558.1962,,,-212705,,8441.8038,,45243417025,,0.039264204,,,
2262,239000,204082.5764,,,-236738,,34917.4236,,56044880644,,0.146098007,,,
1650,163000,158171.0827,,,-161350,,4828.9173,,26033822500,,0.02962526,,,
3049,184000,263122.3568,,,-180951,,79122.3568,,32743264401,,0.430012809,,,
2635,243000,232064.5816,,,-240365,,10935.4184,,57775333225,,0.045001722,,,
2891,211000,251269.3895,,,-208109,,40269.3895,,43309355881,,0.190850187,,,
1977,172500,182702.224,,,-170523,,10202.224,,29078093529,,0.059143328,,,
4138,501837,344817.809,,,-497699,,157019.191,,2.47704E+11,,0.312888828,,,
968,100000,107008.2743,,,-99032,,7008.2743,,9807337024,,0.070082743,,,
1961,177000,181501.9235,,,-175039,,4501.9235,,30638651521,,0.025434596,,,
2154,200100,195980.5481,,,-197946,,4119.4519,,39182618916,,0.020586966,,,
1340,120000,134915.2607,,,-118660,,14915.2607,,14080195600,,0.124293839,,,
2082,200000,190579.1959,,,-197918,,9420.8041,,39171534724,,0.047104021,,,
1252,127000,128313.608,,,-125748,,1313.608,,15812559504,,0.01034337,,,
3036,475000,262147.1127,,,-471964,,212852.8873,,2.2275E+11,,0.448111342,,,
1828,173000,171524.4256,,,-171172,,1475.5744,,29299853584,,0.008529332,,,
1512,135000,147818.4909,,,-133488,,12818.4909,,17819046144,,0.094951784,,,
2310,153337,207683.4779,,,-151027,,54346.4779,,22809154729,,0.354425076,,,
2746,286000,240391.6663,,,-283254,,45608.3337,,80232828516,,0.159469698,,,
3024,315000,261246.8873,,,-311976,,53753.1127,,97329024576,,0.170644802,,,
2105,184000,192304.6279,,,-181895,,8304.6279,,33085791025,,0.045133847,,,
1991,192000,183752.4869,,,-190009,,8247.5131,,36103420081,,0.042955797,,,
1709,130000,162597.1907,,,-128291,,32597.1907,,16458580681,,0.250747621,,,
1254,127000,128463.6455,,,-125746,,1463.6455,,15812056516,,0.011524768,,,
2022,148500,186078.0691,,,-146478,,37578.0691,,21455804484,,0.25305097,,,
2852,311872,248343.657,,,-309020,,63528.343,,95493360400,,0.203700053,,,
3756,235000,316160.6348,,,-231244,,81160.6348,,53473787536,,0.345364403,,,
1858,104000,173774.9891,,,-102142,,69774.9891,,10432988164,,0.670913357,,,
2801,274900,244517.6992,,,-272099,,30382.3008,,74037865801,,0.110521283,,,
1121,140000,118486.1477,,,-138879,,21513.8523,,19287376641,,0.153670374,,,
1920,171500,178426.1535,,,-169580,,6926.1535,,28757376400,,0.040385735,,,
1927,112000,178951.2849,,,-110073,,66951.2849,,12116065329,,0.597779329,,,
1510,149000,147668.4534,,,-147490,,1331.5466,,21753300100,,0.008936554,,,
1596,110000,154120.0685,,,-108404,,44120.0685,,11751427216,,0.401091532,,,
1442,180500,142567.1763,,,-179058,,37932.8237,,32061767364,,0.210154148,,,
1696,143900,161621.9466,,,-142204,,17721.9466,,20221977616,,0.123154598,,,
1519,141000,148343.6224,,,-139481,,7343.6224,,19454949361,,0.052082428,,,
3127,277000,268973.8217,,,-273873,,8026.1783,,75006420129,,0.028975373,,,
1879,145000,175350.3834,,,-143121,,30350.3834,,20483620641,,0.209312989,,,
1332,98000,134315.1104,,,-96668,,36315.1104,,9344702224,,0.370562351,,,
1248,186000,128013.5328,,,-184752,,57986.4672,,34133301504,,0.3117552,,,
2674,252678,234990.3141,,,-250004,,17687.6859,,62502000016,,0.070000894,,,
1706,156000,162372.1344,,,-154294,,6372.1344,,23806638436,,0.040847015,,,
1770,161750,167173.3364,,,-159980,,5423.3364,,25593600400,,0.033529128,,,
1596,134450,154120.0685,,,-132854,,19670.0685,,17650185316,,0.146300249,,,
2382,210000,213084.8301,,,-207618,,3084.8301,,43105233924,,0.014689667,,,
1328,107000,134015.0353,,,-105672,,27015.0353,,11166571584,,0.252476965,,,
2295,311500,206558.1962,,,-309205,,104941.8038,,95607732025,,0.336891826,,,
1264,167240,129213.8333,,,-165976,,38026.1667,,27548032576,,0.227374831,,,
1498,204900,146768.228,,,-203402,,58131.772,,41372373604,,0.283708014,,,
2267,200000,204457.6704,,,-197733,,4457.6704,,39098339289,,0.022288352,,,
2102,179900,192079.5715,,,-177798,,12179.5715,,31612128804,,0.067701898,,,
1388,97000,138516.1621,,,-95612,,41516.1621,,9141654544,,0.428001671,,,
2448,386250,218036.0697,,,-383802,,168213.9303,,1.47304E+11,,0.435505321,,,
1302,112000,132064.547,,,-110698,,20064.547,,12254047204,,0.179147741,,,
3085,290000,265823.0329,,,-286915,,24176.9671,,82320217225,,0.083368852,,,
1308,106000,132514.6597,,,-104692,,26514.6597,,10960414864,,0.250138299,,,
1754,125000,165973.0359,,,-123246,,40973.0359,,15189576516,,0.327784287,,,
1571,192500,152244.599,,,-190929,,40255.401,,36453883041,,0.209118966,,,
1194,148000,123962.5187,,,-146806,,24037.4813,,21552001636,,0.162415414,,,
3483,403000,295680.5077,,,-399517,,107319.4923,,1.59614E+11,,0.26630147,,,
987,94500,108433.6311,,,-93513,,13933.6311,,8744681169,,0.147445832,,,
1076,128200,115110.3026,,,-127124,,13089.6974,,16160511376,,0.102103724,,,
2585,216500,228313.6426,,,-213915,,11813.6426,,45759627225,,0.054566479,,,
1345,89500,135290.3546,,,-88155,,45790.3546,,7771304025,,0.511624074,,,
1438,185500,142267.1012,,,-184062,,43232.8988,,33878819844,,0.233061449,,,
2146,194500,195380.3979,,,-192354,,880.3979,,37000061316,,0.004526467,,,
1694,318000,161471.909,,,-316306,,156528.091,,1.00049E+11,,0.492226701,,,
1581,113000,152994.7868,,,-111419,,39994.7868,,12414193561,,0.353936166,,,
2644,262500,232739.7507,,,-259856,,29760.2493,,67525140736,,0.113372378,,,
1195,110500,124037.5375,,,-109305,,13537.5375,,11947583025,,0.122511652,,,
1440,79000,142417.1387,,,-77560,,63417.1387,,6015553600,,0.802748591,,,
1217,120000,125687.9506,,,-118783,,5687.9506,,14109401089,,0.047399588,,,
2805,205000,244817.7744,,,-202195,,39817.7744,,40882818025,,0.194233046,,,
2801,241500,244517.6992,,,-238699,,3017.6992,,56977212601,,0.012495649,,,
1928,137000,179026.3037,,,-135072,,42026.3037,,18244445184,,0.306761341,,,
1375,140000,137540.918,,,-138625,,2459.082,,19216890625,,0.017564871,,,
1668,180000,159521.4207,,,-178332,,20478.5793,,31802302224,,0.113769885,,,
2841,277000,247518.4505,,,-274159,,29481.5495,,75163157281,,0.106431587,,,
1306,76500,132364.6221,,,-75194,,55864.6221,,5654137636,,0.730256498,,,
3198,235000,274300.1552,,,-231802,,39300.1552,,53732167204,,0.167234703,,,
1640,173000,157420.8949,,,-171360,,15579.1051,,29364249600,,0.090052631,,,
1572,158000,152319.6178,,,-156428,,5680.3822,,24469719184,,0.035951786,,,
2236,145000,202132.0882,,,-142764,,57132.0882,,20381559696,,0.394014401,,,
2291,230000,206258.1211,,,-227709,,23741.8789,,51851388681,,0.10322556,,,
2231,207500,201756.9942,,,-205269,,5743.0058,,42135362361,,0.027677136,,,
2938,220000,254795.2722,,,-217062,,34795.2722,,47115911844,,0.158160328,,,
2153,231500,195905.5294,,,-229347,,35594.4706,,52600046409,,0.153755813,,,
882,97000,100556.6591,,,-96118,,3556.6591,,9238669924,,0.036666589,,,
2054,176000,188478.6701,,,-173946,,12478.6701,,30257210916,,0.070901535,,,
2574,276000,227488.436,,,-273426,,48511.564,,74761777476,,0.175766536,,,
1718,151000,163272.3598,,,-149282,,12272.3598,,22285115524,,0.081273906,,,
1160,130000,121411.8801,,,-128840,,8588.1199,,16599745600,,0.066062461,,,
764,73000,91704.443,,,-72236,,18704.443,,5218039696,,0.256225247,,,
2010,175500,185177.8437,,,-173490,,9677.8437,,30098780100,,0.055144409,,,
2225,185000,201306.8816,,,-182775,,16306.8816,,33406700625,,0.088145306,,,
2150,179500,195680.473,,,-177350,,16180.473,,31453022500,,0.090141911,,,
1181,120500,122987.2745,,,-119319,,2487.2745,,14237023761,,0.020641282,,,
1864,148000,174225.1017,,,-146136,,26225.1017,,21355730496,,0.177196633,,,
1939,266000,179851.5103,,,-264061,,86148.4897,,69728211721,,0.323866503,,,
1589,241500,153594.9371,,,-239911,,87905.0629,,57557287921,,0.36399612,,,
2794,290000,243992.5678,,,-287206,,46007.4322,,82487286436,,0.158646318,,,
2252,139000,203332.3886,,,-136748,,64332.3886,,18700015504,,0.46282294,,,
1362,124500,136565.6738,,,-123138,,12065.6738,,15162967044,,0.096913043,,,
1548,205000,150519.167,,,-203452,,54480.833,,41392716304,,0.265760161,,,
1560,201000,151419.3924,,,-199440,,49580.6076,,39776313600,,0.24666969,,,
984,141000,108208.5747,,,-140016,,32791.4253,,19604480256,,0.2325633,,,
2121,415298,193504.9284,,,-413177,,221793.0716,,1.70715E+11,,0.534057644,,,
2414,192000,215485.4311,,,-189586,,23485.4311,,35942851396,,0.122319954,,,
2403,228500,214660.2245,,,-226097,,13839.7755,,51119853409,,0.060567945,,,
2167,185000,196955.7923,,,-182833,,11955.7923,,33427905889,,0.064625904,,,
2218,207500,200781.7501,,,-205282,,6718.2499,,42140699524,,0.032377108,,,
1468,244600,144517.6646,,,-243132,,100082.3354,,59113169424,,0.409167357,,,
2005,179200,184802.7498,,,-177195,,5602.7498,,31398068025,,0.031265345,,,
1250,164700,128163.5704,,,-163450,,36536.4296,,26715902500,,0.221836245,,,
2334,159000,209483.9287,,,-156666,,50483.9287,,24544235556,,0.317508986,,,
1472,88000,144817.7397,,,-86528,,56817.7397,,7487094784,,0.645656133,,,
1350,122000,135665.4485,,,-120650,,13665.4485,,14556422500,,0.112011873,,,
1396,153575,139116.3124,,,-152179,,14458.6876,,23158448041,,0.094147404,,,
1919,233230,178351.1347,,,-231311,,54878.8653,,53504778721,,0.235299341,,,
1926,135900,178876.2661,,,-133974,,42976.2661,,17949032676,,0.316234482,,,
2008,131000,185027.8062,,,-128992,,54027.8062,,16638936064,,0.412426002,,,
3058,235000,263797.5259,,,-231942,,28797.5259,,53797091364,,0.122542663,,,
2929,167000,254120.1032,,,-164071,,87120.1032,,26919293041,,0.521677265,,,
1822,142500,171074.313,,,-140678,,28574.313,,19790299684,,0.200521495,,,
1978,152000,182777.2427,,,-150022,,30777.2427,,22506600484,,0.20248186,,,
2599,239000,229363.9055,,,-236401,,9636.0945,,55885432801,,0.040318387,,,
2127,175000,193955.0411,,,-172873,,18955.0411,,29885074129,,0.108314521,,,
1152,158500,120811.7299,,,-157348,,37688.2701,,24758393104,,0.237780884,,,
2177,157000,197705.9801,,,-154823,,40705.9801,,23970161329,,0.259273759,,,
2733,267000,239416.4221,,,-264267,,27583.5779,,69837047289,,0.103309281,,,
1541,205000,149994.0356,,,-203459,,55005.9644,,41395564681,,0.268321778,,,
1788,149900,168523.6744,,,-148112,,18623.6744,,21937164544,,0.124240656,,,
3493,295000,296430.6955,,,-291507,,1430.6955,,84976331049,,0.004849815,,,
3464,305900,294255.1508,,,-302436,,11644.8492,,91467534096,,0.038067503,,,
2943,225000,255170.3661,,,-222057,,30170.3661,,49309311249,,0.134090516,,,
1406,89500,139866.5002,,,-88094,,50366.5002,,7760552836,,0.562754192,,,
1123,82500,118636.1853,,,-81377,,36136.1853,,6622216129,,0.438014367,,,
3218,360000,275800.5308,,,-356782,,84199.4692,,1.27293E+11,,0.233887414,,,
2019,165600,185853.0127,,,-163581,,20253.0127,,26758743561,,0.122300801,,,
1652,132000,158321.1202,,,-130348,,26321.1202,,16990601104,,0.199402426,,,
1625,119900,156295.6132,,,-118275,,36395.6132,,13988975625,,0.303549735,,,
3272,375000,279851.5449,,,-371728,,95148.4551,,1.38182E+11,,0.253729214,,,
1657,178000,158696.2141,,,-176343,,19303.7859,,31096853649,,0.108448235,,,
1857,188500,173699.9703,,,-186643,,14800.0297,,34835609449,,0.078514746,,,
3045,260000,262822.2817,,,-256955,,2822.2817,,66025872025,,0.01085493,,,
1959,270000,181351.8859,,,-268041,,88648.1141,,71845977681,,0.328326349,,,
3633,260000,306933.3248,,,-256367,,46933.3248,,65724038689,,0.180512788,,,
2508,187500,222537.1965,,,-184992,,35037.1965,,34222040064,,0.186865048,,,
2596,342643,229138.8492,,,-340047,,113504.1508,,1.15632E+11,,0.331260673,,,
3438,354000,292304.6625,,,-350562,,61695.3375,,1.22894E+11,,0.174280614,,,
2758,301000,241291.8917,,,-298242,,59708.1083,,88948290564,,0.198365808,,,
1419,126175,140841.7443,,,-124756,,14666.7443,,15564059536,,0.116241286,,,
2978,242000,257796.0234,,,-239022,,15796.0234,,57131516484,,0.065272824,,,
919,87000,103332.354,,,-86081,,16332.354,,7409938561,,0.187728207,,,
3338,324000,284802.7845,,,-320662,,39197.2155,,1.02824E+11,,0.12097906,,,
1948,145250,180526.6793,,,-143302,,35276.6793,,20535463204,,0.242868704,,,
2134,214500,194480.1725,,,-212366,,20019.8275,,45099317956,,0.093332529,,,
1192,78000,123812.4811,,,-76808,,45812.4811,,5899468864,,0.587339501,,,
1768,119000,167023.2988,,,-117232,,48023.2988,,13743341824,,0.403557133,,,
1902,139000,177075.8154,,,-137098,,38075.8154,,18795861604,,0.273926729,,,
2753,284000,240916.7978,,,-281247,,43083.2022,,79099875009,,0.151701416,,,
